study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,celeb,celeb,cfd,test,201,5.611509695730574,6.951441764831543,10.328690528869627,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-infonce-random-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,random,1m,celeb,celeb,cfd,transfer,True,4.9530229568481445,3.2018959522247314,4.044797420501709,180,5.375667572021483,2.0853306392591984
external_vit_landmark_probe,celeb_to_cfd,baseline-mae-vitb16-in1k-pretrain,0,patch_tokens,g4,12288,external_baseline,mae,celeb,celeb,cfd,test,302,6.650388074051487,5.883378028869629,8.893306732177734,/workspace/landmark_probe/outputs/probe_runs/external_vit_landmark_probe/celeb_to_cfd/baseline-mae-vitb16-in1k-pretrain/patch_tokens__g4/best_probe.pt,mae,vitb16,16.0,ImageNet-1K,patch_tokens_g4,external_baseline,mae,baseline,celeb,celeb,cfd,transfer,True,3.7807004451751713,2.382324457168579,3.638625144958496,630,5.1126062870025635,2.352290762291716
followup_50k_landmark_probe,celeb_to_cfd,baseline-random,0,backbone,g4,32768,baseline,random,celeb,celeb,cfd,test,84,16.376626572322323,8.388373374938965,14.244479179382324,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/baseline-random/backbone__g4/best_probe.pt,,,,,,baseline,random,baseline,celeb,celeb,cfd,transfer,True,9.330357551574707,5.592645645141602,8.979241371154785,327,4.914121627807617,1.5266809552200118
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,celeb,celeb,cfd,test,279,6.344824684122221,5.892314910888673,8.98581600189209,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-vicreg-random-50ksteps/backbone__g4/best_probe.pt,,,,,,vicreg,random,10k,celeb,celeb,cfd,transfer,True,4.9142680168151855,3.168797016143799,4.070761203765868,263,4.071547985076904,1.82851565505692
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-vicreg-random-50ksteps,50000,backbone,gap,2048,vicreg,random,celeb,celeb,cfd,test,841,7.770836220412956,5.809752941131593,9.117411613464355,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-vicreg-random-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,random,1m,celeb,celeb,cfd,transfer,True,5.064306259155273,3.2320435047149663,4.948784828186035,1000,4.053105354309082,1.800327852799554
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,cfd,test,311,11.806192283421916,8.156834602355957,12.624879837036133,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,,,,,,lejepa,imagenet,10k,celeb,celeb,cfd,transfer,True,8.72878360748291,5.691030979156494,9.014130592346193,341,3.8960962295532227,1.4463504200302575
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-lejepa-random-50ksteps,50000,backbone,gap,2048,lejepa,random,celeb,celeb,cfd,test,975,8.221511434336179,5.9052796363830575,9.26611328125,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,random,1m,celeb,celeb,cfd,transfer,True,5.975046157836914,3.7931699752807617,5.6525630950927725,949,3.291067123413086,1.5508019580897292
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-infonce-random-50ksteps,50000,backbone,gap,2048,infonce,random,celeb,celeb,cfd,test,954,7.754186606798017,5.219107627868652,8.165347099304201,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-infonce-random-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,random,100k,celeb,celeb,cfd,transfer,True,4.941577434539795,3.1464080810546875,4.88153076171875,961,3.223769664764406,1.6523766363006782
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,cfd,test,986,10.496936964858426,6.648702621459961,10.705936431884766,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-1m-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,1m,celeb,celeb,cfd,transfer,True,7.609627723693848,4.8062710762023935,7.4894633293151855,996,3.096308708190918,1.4068935854181202
followup_50k_landmark_probe,celeb_to_cfd,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,gap,2048,infonce,imagenet,celeb,celeb,cfd,test,952,10.154680001931114,6.147989273071289,9.823704719543457,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_to_cfd/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,imagenet,100k,celeb,celeb,cfd,transfer,True,6.826277256011963,4.347504138946533,7.085031032562256,969,2.997427463531494,1.4391013360747447
