study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,model_family,model_arch,patch_size,pretrain_data,feature_kind,objective,init,scale,train_dataset,val_dataset,test_dataset,task_family,paper_scope,cfd_within_test_mean_l2,cfd_within_test_mae,cfd_within_best_val_mean_l2,cfd_within_best_epoch,transfer_penalty_l2,transfer_ratio_l2
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,gap,2048,infonce,imagenet,celeb,celeb,celeb,test,864,10.23061374497544,6.815264225006104,11.091719627380373,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,imagenet,100k,celeb,celeb,celeb,within,True,6.826277256011963,4.347504138946533,7.085031032562256,969,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,gap,2048,infonce,imagenet,celeb,celeb,celeb,test,953,9.950591384387408,6.384547233581543,10.217924118041992,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,infonce,imagenet,1m,celeb,celeb,celeb,within,True,7.050218105316162,4.467141151428223,7.221372127532959,996,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,celeb,test,468,19.755393533758774,13.169565200805664,21.4363956451416,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,10k,celeb,celeb,celeb,within,True,11.052496910095217,6.964212894439697,10.604616165161133,901,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,celeb,test,531,14.921271704585175,10.414450645446776,16.852909088134766,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,100k,celeb,celeb,celeb,within,True,8.481070518493652,5.31820011138916,8.073100090026855,939,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,gap,2048,lejepa,imagenet,celeb,celeb,celeb,test,526,14.75159295399984,10.510231971740724,16.988883972167972,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,lejepa,imagenet,1m,celeb,celeb,celeb,within,True,7.914156436920166,4.963332176208496,8.020255088806152,992,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,celeb,test,842,15.955709050913324,10.437923431396484,16.87973976135254,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,10k,celeb,celeb,celeb,within,True,9.008071899414062,5.6964263916015625,8.97541332244873,982,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,celeb,test,975,9.811432603929862,6.817153453826903,10.97868537902832,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,100k,celeb,celeb,celeb,within,True,7.173373222351074,4.5073771476745605,7.111922264099121,999,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps,50000,backbone,gap,2048,vicreg,imagenet,celeb,celeb,celeb,test,894,10.351703159144668,7.13892126083374,11.59749984741211,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-vicreg-imagenet-50ksteps/backbone__gap/best_probe.pt,,,,,,vicreg,imagenet,1m,celeb,celeb,celeb,within,True,7.609627723693848,4.8062710762023935,7.4894633293151855,996,,
followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,g4,32768,baseline,random,celeb,celeb,celeb,test,208,16.501477048696717,9.57886791229248,15.70014476776123,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/baseline-random/backbone__g4/best_probe.pt,,,,,,baseline,random,baseline,celeb,celeb,celeb,within,True,9.330357551574707,5.592645645141602,8.979241371154785,327,,
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,celeb,celeb,celeb,test,344,6.315409266883558,4.175171375274658,6.532932758331299,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-infonce-random-50ksteps/backbone__g4/best_probe.pt,,,,,,infonce,random,10k,celeb,celeb,celeb,within,True,5.410127639770508,3.5118162631988525,4.309503078460693,347,,
