study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path
followup_50k_landmark_probe,celeb_within,baseline-random,0,backbone,g4,32768,baseline,random,celeb,celeb,celeb,test,208,16.501477048696717,9.57886791229248,15.70014476776123,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/baseline-random/backbone__g4/best_probe.pt
followup_50k_landmark_probe,celeb_within,baseline-imagenet,0,backbone,g4,32768,baseline,imagenet,celeb,celeb,celeb,test,159,12.637835711077914,8.323076248168945,12.998014450073242,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/baseline-imagenet/backbone__g4/best_probe.pt
followup_50k_landmark_probe,cfd_within,baseline-random,0,backbone,g4,32768,baseline,random,cfd,cfd,cfd,test,327,8.979241371154785,5.592645645141602,9.330357551574707,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/baseline-random/backbone__g4/best_probe.pt
followup_50k_landmark_probe,cfd_within,baseline-imagenet,0,backbone,g4,32768,baseline,imagenet,cfd,cfd,cfd,test,263,8.924335479736328,6.384853839874268,9.660913467407227,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/baseline-imagenet/backbone__g4/best_probe.pt
