study_name,task_name,run_name,checkpoint_step,embedding_key,pooling,embedding_dim,ssl_method,init_mode,train_dataset_name,val_dataset_name,test_dataset_name,test_split,best_epoch,best_val_mean_l2,test_mae,test_mean_l2,probe_checkpoint_path,scale
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,500,11.766206668374315,7.708462715148926,12.127285957336426,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,369,7.924697021317612,5.335341930389403,8.351043701171875,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,celeb_within,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,celeb,celeb,celeb,test,277,7.86246519661992,5.22477912902832,8.201706886291504,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/celeb_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,347,4.309503078460693,3.5118162631988525,5.410127639770508,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-infonce-random-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,197,3.83331036567688,2.5452229976654053,4.025519371032715,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-infonce-random-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-infonce-random-50ksteps,50000,backbone,g4,32768,infonce,random,cfd,cfd,cfd,test,180,4.044797420501709,3.2018959522247314,4.9530229568481445,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-infonce-random-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,263,4.070761203765868,3.168797016143799,4.9142680168151855,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-vicreg-random-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,294,3.7638401985168457,2.508047103881836,3.937283754348755,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-vicreg-random-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-vicreg-random-50ksteps,50000,backbone,g4,32768,vicreg,random,cfd,cfd,cfd,test,318,3.687822580337525,2.5376884937286377,3.9886455535888667,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-vicreg-random-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,424,4.060436248779297,2.646048069000244,4.160947799682616,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-lejepa-random-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,450,3.948544025421143,2.571373701095581,4.047849655151366,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-lejepa-random-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-lejepa-random-50ksteps,50000,backbone,g4,32768,lejepa,random,cfd,cfd,cfd,test,347,4.1169538497924805,2.667404890060425,4.199650287628174,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-random-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,358,10.43490982055664,7.8008551597595215,11.729509353637695,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,424,4.279738426208496,2.979553699493408,4.666220664978027,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-infonce-imagenet-50ksteps,50000,backbone,g4,32768,infonce,imagenet,cfd,cfd,cfd,test,299,4.439042091369629,2.853899478912353,4.4774274826049805,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-infonce-imagenet-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,698,6.663674831390381,4.1783857345581055,6.474675178527832,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,401,4.574835777282715,3.1047146320343018,4.797965049743652,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps,50000,backbone,g4,32768,vicreg,imagenet,cfd,cfd,cfd,test,538,4.4683499336242685,2.9312260150909424,4.632867336273193,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-vicreg-imagenet-50ksteps/backbone__g4/best_probe.pt,1m
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-10k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,341,9.014130592346193,5.691030979156494,8.72878360748291,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-10k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,10k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-100k-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,226,5.452151298522949,3.97573184967041,6.14628791809082,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-100k-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,100k
followup_50k_landmark_probe,cfd_within,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps,50000,backbone,g4,32768,lejepa,imagenet,cfd,cfd,cfd,test,372,5.04587459564209,3.640031337738037,5.66350793838501,/workspace/landmark_probe/outputs/probe_runs/followup_50k_landmark_probe/cfd_within/geometry-fixedcompute-1m-lejepa-imagenet-50ksteps/backbone__g4/best_probe.pt,1m
