objective,init,transfer_penalty_l2,transfer_ratio_l2,test_mean_l2,test_mae,iris_centroid,medial_canthus,lateral_canthus,run_name
infonce,random,5.375667572021483,2.0853306392591984,10.328690528869627,6.951441764831543,9.270540237426758,11.282755851745605,10.797240257263184,geometry-fixedcompute-1m-infonce-random-50ksteps
lejepa,random,0.9648032188415527,1.229734180887343,5.164453506469727,3.2871277332305913,5.046523094177246,6.869106769561768,6.461647987365723,geometry-fixedcompute-1m-lejepa-random-50ksteps
vicreg,random,0.9510083198547377,1.2384288869686724,4.939653873443604,3.1629211902618413,4.552573204040527,5.6095542907714835,5.592986106872559,geometry-fixedcompute-1m-vicreg-random-50ksteps
infonce,imagenet,1.564469814300537,1.349412652774071,6.041897296905518,3.867227792739868,5.402406692504883,6.554527759552003,6.666722297668457,geometry-fixedcompute-1m-infonce-imagenet-50ksteps
lejepa,imagenet,1.1576085090637207,1.204397790496224,6.8211164474487305,4.357618808746338,6.170276165008545,8.808096885681152,7.466457843780518,geometry-fixedcompute-1m-lejepa-imagenet-50ksteps
vicreg,imagenet,0.8803133964538574,1.1900148077976276,5.513180732727051,3.5116062164306636,5.129964828491211,6.997693538665772,6.009951591491699,geometry-fixedcompute-1m-vicreg-imagenet-50ksteps
external_baseline,dinov2,1.1842906475067125,1.3070494515109707,5.0412936210632315,3.2255277633666988,4.9134554862976065,5.548766613006592,5.670902729034424,baseline-dinov2-vitb14
external_baseline,mae,5.1126062870025635,2.352290762291716,8.893306732177734,5.883378028869629,7.5305328369140625,9.797966003417967,10.473915100097656,baseline-mae-vitb16-in1k-pretrain
