epoch,train_mae,train_mean_l2,val_mae,val_mean_l2
1,122.35864535245028,176.9463514848189,139.23672485351562,199.04727172851562
2,122.34074540571733,176.9213104248047,139.22850036621094,199.03582763671875
3,122.33684747869319,176.91690757057884,139.22030639648438,199.0243682861328
